model,regime,category,utility_mean,satisfaction_mean,css_primary_mean,pct_decisive,pct_clarifying,pct_hedging,pct_refusal,pct_disputed,n_observations
llama3_70b,neutrality_oriented,4,3.772,3.761,0.0264,3.3,6.7,90.0,0.0,0.0,60
llama3_70b,neutrality_oriented,5,3.689,3.678,0.0182,0.0,15.0,85.0,0.0,0.0,60
llama3_70b,neutrality_oriented,6,3.85,3.8,0.0386,0.0,28.3,68.3,3.3,0.0,60
llama3_70b,neutrality_oriented,7,4.556,4.45,0.0549,0.0,86.7,13.3,0.0,0.0,60
llama3_70b,clarification_first,1,4.744,4.7,0.0241,0.0,100.0,0.0,0.0,0.0,60
llama3_70b,clarification_first,2,4.444,4.311,0.0235,0.0,100.0,0.0,0.0,0.0,60
llama3_70b,clarification_first,3,4.706,4.65,0.0185,0.0,100.0,0.0,0.0,0.0,60
llama3_70b,clarification_first,4,4.05,4.006,0.0239,0.0,100.0,0.0,0.0,0.0,60
llama3_70b,clarification_first,5,3.994,3.883,0.0247,0.0,100.0,0.0,0.0,0.0,60
llama3_70b,clarification_first,6,4.5,4.406,0.0397,0.0,100.0,0.0,0.0,0.0,60
llama3_70b,clarification_first,7,4.372,4.344,0.0379,0.0,100.0,0.0,0.0,0.0,60
qwen3_235b,vanilla,1,4.067,4.161,0.0281,30.0,0.0,68.3,0.0,1.7,60
qwen3_235b,vanilla,2,4.05,4.111,0.0226,36.7,0.0,63.3,0.0,0.0,60
qwen3_235b,vanilla,3,4.183,4.306,0.025,0.0,5.0,95.0,0.0,0.0,60
qwen3_235b,vanilla,4,4.183,4.361,0.0218,38.3,0.0,61.7,0.0,0.0,60
qwen3_235b,vanilla,5,4.228,4.378,0.0204,56.7,0.0,43.3,0.0,0.0,60
qwen3_235b,vanilla,6,3.683,3.728,0.0356,11.7,0.0,81.7,6.7,0.0,60
qwen3_235b,vanilla,7,4.161,4.256,0.0518,8.3,13.3,78.3,0.0,0.0,60
qwen3_235b,utility_first,1,3.461,3.511,0.0234,98.3,0.0,1.7,0.0,0.0,60
qwen3_235b,utility_first,2,3.894,3.911,0.0277,100.0,0.0,0.0,0.0,0.0,60
qwen3_235b,utility_first,3,3.178,3.206,0.0286,98.3,0.0,1.7,0.0,0.0,60
qwen3_235b,utility_first,4,3.817,3.889,0.0272,75.0,0.0,25.0,0.0,0.0,60
qwen3_235b,utility_first,5,3.889,3.939,0.0246,88.3,0.0,11.7,0.0,0.0,60
qwen3_235b,utility_first,6,3.256,3.261,0.0364,65.0,0.0,30.0,1.7,3.3,60
qwen3_235b,utility_first,7,3.078,3.139,0.052,96.7,0.0,3.3,0.0,0.0,60
qwen3_235b,neutrality_oriented,1,4.194,4.283,0.0266,11.7,1.7,86.7,0.0,0.0,60
qwen3_235b,neutrality_oriented,2,4.006,4.133,0.0225,20.0,0.0,80.0,0.0,0.0,60
qwen3_235b,neutrality_oriented,3,4.1,4.194,0.0239,0.0,6.7,93.3,0.0,0.0,60
qwen3_235b,neutrality_oriented,4,4.206,4.322,0.0217,36.7,0.0,63.3,0.0,0.0,60
qwen3_235b,neutrality_oriented,5,4.217,4.372,0.0182,31.7,0.0,68.3,0.0,0.0,60
qwen3_235b,neutrality_oriented,6,3.839,3.844,0.0413,1.7,0.0,86.7,8.3,3.3,60
qwen3_235b,neutrality_oriented,7,4.283,4.417,0.0436,0.0,35.0,65.0,0.0,0.0,60
